code,name,input_kind,advertised_purpose,verification
"S01","Strategic Identity Statement","assessment","Defines who your business is and what it stands for — the identity statement your strategy, hiring, and investment decisions should all trace back to, so growth never drifts from the brand you built.","Specific assessment API input/charging asserted"
"Q06","Conflicting Priorities Detector","conflict","Detects decisions and priorities working against each other — two teams solving opposite problems with the same budget.","Registered; advertised duty not independently certified"
"Q07","Decision Consistency Check","assessment","Checks new decisions against the ones you've already made — so today's call doesn't quietly reverse last quarter's.","Registered; advertised duty not independently certified"
"Q08","Decision Finalization","assessment","Closes decisions properly — recorded rationale, a named owner, and a definition of done, so nothing gets relitigated at the next meeting.","Registered; advertised duty not independently certified"
"Q09","Option Selection Assistant","assessment","Structures the choice between options — criteria, weights, and scores in the open, so your selection survives scrutiny.","Registered; advertised duty not independently certified"
"Q10","Multi-Factor Decision View","assessment","Weighs a decision across every factor at once — financial, operational, people, and risk — instead of the single lens it arrived in.","Registered; advertised duty not independently certified"
"Q11","Scenario Reality Check","assessment","Stress-tests a scenario against reality — the assumptions it needs to be true, and which of them your own data already contradicts.","Registered; advertised duty not independently certified"
"Q12","Full Scenario Explorer","assessment","Explores the full range of scenarios — best case, worst case, and the messy middle — with the consequences of each laid side by side.","Registered; advertised duty not independently certified"
"Q13","Root Cause Tracer","assessment","Traces a problem to its root cause — following the chain past the symptoms so your fix lands where the problem starts.","Registered; advertised duty not independently certified"
"Q14","Data Source Validator","assessment","Validates the data behind a decision — where it came from, how fresh it is, and whether it can carry the weight you're about to put on it.","Registered; advertised duty not independently certified"
"Q15","Early Warning Signals","assessment","Surfaces the early signals of trouble — the leading indicators that move weeks before your results do, while there's still time to act.","Registered; advertised duty not independently certified"
"Q16","Decision Recurrence Tracker","assessment","Spots the decisions you keep making again — the same call resurfacing every quarter because it was never resolved at the root.","Registered; advertised duty not independently certified"
"Q17","Stakeholder Alignment Score","assessment","Scores how aligned your stakeholders really are on a decision — surfacing quiet dissent before it becomes slow execution.","Registered; advertised duty not independently certified"
"Q18","Cross-Team Consistency Check","assessment","Checks that different teams facing the same question decide it the same way — so your customers get one answer, not four.","Registered; advertised duty not independently certified"
"Q19","Sentiment-Adjusted Assessment","assessment","Adjusts assessments for the mood in the room — separating what your data says from how people feel about it.","Registered; advertised duty not independently certified"
"Q20","Context Insight Layer","assessment","Adds the context a decision is missing — market conditions, history, and constraints — so you decide with the full picture.","Registered; advertised duty not independently certified"
"Q21","Decision Framework Builder","selection","Builds reusable decision frameworks — so your recurring choices follow a tested structure instead of starting from scratch each time.","Registered; advertised duty not independently certified"
"Q22","Decision Structure Mapper","assessment","Maps how a complex decision breaks into parts — dependencies, sequence, and owners — before anyone commits to the whole.","Registered; advertised duty not independently certified"
"Q23","Decision Architecture Console","assessment","The control panel for how your organization decides — its frameworks, thresholds, and escalation paths in one place.","Registered; advertised duty not independently certified"
"Q24","Decision Model Diagnostic","scenario","Tests whether your decision models still fit reality — and retires the ones the market has moved past.","Registered; advertised duty not independently certified"
"Q25","Recurring Pattern Detector","assessment","Detects the patterns in your decision history — the setups that consistently precede wins, and the ones that precede write-offs.","Registered; advertised duty not independently certified"
"Q26","Decision Signature Report","assessment","Reports your organization's decision signature — how it characteristically decides: fast or slow, top-down or consensus, bold or safe.","Registered; advertised duty not independently certified"
"Q27","Decision-Maker Profile","assessment","Profiles your individual decision-makers — their speed, their biases, their hit rate — so assignments match strengths.","Registered; advertised duty not independently certified"
"Q28","Stakeholder Persona Mapping","assessment","Maps the stakeholders around a decision — what each one cares about, and what each one needs in order to say yes.","Registered; advertised duty not independently certified"
"Q29","Decision Role Assignment","assessment","Assigns clear roles on every decision — who decides, who's consulted, who's informed — so nothing dies of ambiguity.","Registered; advertised duty not independently certified"
"Q30","Decision Function Library","assessment","A library of your organization's standard decisions — the calls each unit routinely makes, with the playbook for each.","Registered; advertised duty not independently certified"
"Q31","Decision Capacity Planner","roadmap","Plans your decision capacity — how many significant calls your leaders can make well per week, and what to delegate when the queue exceeds it.","Registered; advertised duty not independently certified"
"Q32","Team Decision Capability Score","assessment","Scores each team's ability to decide well without escalating — so autonomy is granted on evidence, not seniority.","Registered; advertised duty not independently certified"
"Q33","Decision-Making Skill Score","assessment","Scores individual decision-making skill — judgment, speed, and calibration — so development targets the actual gap.","Registered; advertised duty not independently certified"
"Q34","Best-Practice Technique Library","assessment","A library of proven decision techniques — pre-mortems, expected value, decision trees — matched to the situations each one fits.","Registered; advertised duty not independently certified"
"Q35","Decision Methodology Selector","selection","Selects the right method for the decision at hand — a reversible call gets an afternoon, a one-way door gets the full treatment.","Registered; advertised duty not independently certified"
"Q36","Decision Process Tracker","assessment","Tracks decisions through your process — where each one sits, how long each stage takes, and where they queue.","Registered; advertised duty not independently certified"
"Q37","Decision Workflow Automation","assessment","Automates the routine layer of your decision-making — routing, reminders, and approvals — so human judgment is spent only where it's needed.","Registered; advertised duty not independently certified"
"Q38","Enterprise Decision System","assessment","Runs decisions as an enterprise system — one pipeline with standards, visibility, and accountability from proposal to review.","Registered; advertised duty not independently certified"
"Q39","Cross-Functional Decision Network","assessment","Maps the network a decision travels through — which functions touch it, and where it slows down crossing boundaries.","Registered; advertised duty not independently certified"
"Q40","Decision Ecosystem Overview","assessment","The overview of your entire decision ecosystem — volume, speed, quality, and risk across the organization.","Registered; advertised duty not independently certified"
"Q41","Decision Intelligence Summary","assessment","Summarises your decision intelligence — what's improving, what's degrading, and the three findings your leadership should act on.","Registered; advertised duty not independently certified"
"Q42","Organizational Insight Index","assessment","Indexes how much your organization actually learns from its decisions — whether insight accumulates, or evaporates between quarters.","Registered; advertised duty not independently certified"
"Q43","Risk Visibility Monitor","assessment","Monitors the risk sitting inside your pending decisions — concentration, exposure, and the calls nobody has stress-tested.","Registered; advertised duty not independently certified"
"Q44","Decision Clarity Score","decision-quality","Scores one decision against the six requirements of decision quality — frame, alternatives, information, criteria, reasoning and commitment — and holds it to a bar set by how consequential and how reversible it is. Quality is the weakest link, not the average.","Registered; advertised duty not independently certified"
"Q45","Strategic Insight Generator","assessment","Turns your decision data into strategic insight — the patterns across many calls that point to what the business should do next.","Registered; advertised duty not independently certified"
"Q46","Predictive Foresight","scenario-decision","Shows you the consequences, scenarios, and futures of a decision before they arrive — so you commit with foresight rather than hindsight.","Registered; advertised duty not independently certified"
"Q47","Long-Range Vision Planner","scenario-decision","Plans decisions against the long horizon — testing today's choices for whether the business you want in ten years can live with them.","Registered; advertised duty not independently certified"
"Q48","Multi-Stakeholder Perspective View","assessment","Shows one decision through every stakeholder's eyes — customers, staff, owners, regulators — before you finalise it.","Registered; advertised duty not independently certified"
"Q49","Decision Rationale Explainer","assessment","Explains the why behind a decision in plain language — so your people execute with conviction instead of compliance.","Registered; advertised duty not independently certified"
"Q50","Decision Mastery Benchmark","assessment","Benchmarks your decision-making against best practice — where you're world-class, and where you're guessing.","Registered; advertised duty not independently certified"
"Q51","Decision Influence Score","assessment","Scores who actually influences your decisions — the informal network behind the org chart — so you know whose alignment matters.","Registered; advertised duty not independently certified"
"Q52","Decision Impact Strength","assessment","Measures how strongly a decision lands — whether it changed behaviour on the ground, or just changed a slide.","Registered; advertised duty not independently certified"
"Q53","Team Capacity & Workload Monitor","assessment","Monitors your teams' capacity against their workload — who has room, who's saturated, and what that means for what you're about to commit.","Registered; advertised duty not independently certified"
"Q54","Decision Momentum Tracker","assessment","Tracks whether decisions gain or lose momentum after they're made — the follow-through gap between deciding and doing.","Registered; advertised duty not independently certified"
"Q55","Decision Speed Index","assessment","Indexes how fast your organization decides — cycle time from question to call, benchmarked by decision type.","Registered; advertised duty not independently certified"
"Q56","Decision Acceleration Planner","roadmap","Plans how to decide faster without deciding worse — the approvals to remove, the data to pre-stage, the thresholds to delegate.","Registered; advertised duty not independently certified"
"Q57","Business Impact Estimator","assessment","Estimates the business impact of a decision in money and time — so options are compared in the units your board uses.","Registered; advertised duty not independently certified"
"Q58","Impact Magnitude Report","assessment","Reports realised impact after the fact — what a decision actually delivered against what was claimed for it.","Registered; advertised duty not independently certified"
"Q59","Outcome Range Assessment","scenario","Assesses the full range of outcomes — the spread between your best and worst case, and whether you can survive the bottom of it.","Registered; advertised duty not independently certified"
"Q60","Decision Urgency Index","scenario","Separates urgent from important across your pending decisions — so deadlines stop deciding by default.","Registered; advertised duty not independently certified"
"Q61","Decision Scope Mapper","scenario","Maps a decision's true scope — everything and everyone it touches — before it's sized, staffed, or delegated.","Registered; advertised duty not independently certified"
"Q62","Domain-Specific Decision View","assessment","Views decisions within one domain — pricing, hiring, capital — with the context and history that domain needs.","Registered; advertised duty not independently certified"
"Q63","Market Territory Analysis","assessment","Analyses your decisions by market and territory — what works where, so a win in one region is deliberately tested in the next.","Registered; advertised duty not independently certified"
"Q64","Business Unit Decision Overview","assessment","Overviews decision-making per business unit — speed, quality, and autonomy, compared across your units.","Registered; advertised duty not independently certified"
"Q65","Enterprise-Wide Decision Map","assessment","Maps decisions across your whole enterprise — where they cluster, where they conflict, and where nobody is deciding at all.","Registered; advertised duty not independently certified"
"Q66","Portfolio/Group Decision View","assessment","Views decisions at portfolio level — how choices in one company or unit affect the others in your group.","Registered; advertised duty not independently certified"
"Q67","Global Decision Overview","assessment","The global view of your decision-making — consistency and local variation across every geography you operate in.","Registered; advertised duty not independently certified"
"Q68","Long-Term Scenario Planner","scenario-decision","Plans long-term scenarios — the futures your industry could take, and the moves that keep you viable across most of them.","Registered; advertised duty not independently certified"
"Q69","Decision Consistency Diagnostic","scenario","Diagnoses inconsistency across your decisions over time — where standards drift depending on who's in the room.","Registered; advertised duty not independently certified"
"Q70","Legacy Decision Archive","assessment","Archives past decisions with their rationale — the institutional memory that stops the next leadership team repeating this one's mistakes.","Registered; advertised duty not independently certified"
"Q71","Decision Timeline","assessment","Lays your decisions on a timeline — what was decided when, and how each one shaped what came next.","Registered; advertised duty not independently certified"
"Q72","Point-in-Time Snapshot","assessment","Snapshots your decision landscape at a point in time — the baseline that makes future audits and comparisons honest.","Registered; advertised duty not independently certified"
"Q73","Decision Sequence Tracker","assessment","Tracks the sequence of dependent decisions — what must be decided first, and what deliberately waits.","Registered; advertised duty not independently certified"
"Q74","Decision Duration Analysis","assessment","Analyses how long your decisions take — where they wait, and which stage of your process eats the calendar.","Registered; advertised duty not independently certified"
"Q75","Recurring Decision Cycles","assessment","Identifies the decisions that recur on a cycle — budgets, renewals, reviews — and standardises them so they stop being reinvented.","Registered; advertised duty not independently certified"
"Q76","Long-Term Commitment Tracker","assessment","Tracks the long-term commitments your decisions created — contracts, leases, promises — and when each comes due or up for renegotiation.","Registered; advertised duty not independently certified"
"Q77","Breakthrough Decision Alerts","assessment","Alerts your leadership when a genuinely breakthrough decision appears — the rare, high-leverage call that must not queue behind routine business.","Registered; advertised duty not independently certified"
"Q78","Cross-Team Decision Convergence","assessment","Shows where separate teams' decisions are converging on the same ground — duplicated effort to merge, or collisions to prevent.","Registered; advertised duty not independently certified"
"Q79","Critical Decision Point Alert","assessment","Flags critical decision points before they pass — the windows where delaying a call quietly becomes making one.","Registered; advertised duty not independently certified"
"Q80","Decision Model Evolution Tracker","assessment","Tracks how your decision models evolve — whether judgment is genuinely improving with evidence, or just changing with the personnel.","Registered; advertised duty not independently certified"
"Q81","Organisational Self-Assessment","assessment","A structured self-assessment of your organization — rated dimension by dimension, with your evidence weighed against your claims.","Registered; advertised duty not independently certified"
"Q82","Core Decision Principles","assessment","Codifies the principles your organization decides by — written down, so they hold under pressure instead of dissolving into judgment calls.","Registered; advertised duty not independently certified"
"Q83","Decision Culture Profile","assessment","Profiles your decision culture as it really works — who speaks, who defers, what gets punished — versus what the values poster says.","Registered; advertised duty not independently certified"
"Q84","Company Values Alignment","assessment","Checks your decisions against your stated values — surfacing where the business says one thing and consistently chooses another.","Registered; advertised duty not independently certified"
"Q85","Organisational Health Check","assessment","A health check across your organization's vital signs — structured ratings with evidence behind them, producing a picture honest enough to act on.","Registered; advertised duty not independently certified"
"Q86","Business Continuity Status","assessment","Reports your continuity readiness — what breaks if a key person, system, or supplier disappears tomorrow, and what's actually covered.","Registered; advertised duty not independently certified"
"Q87","Independent Decision Authority","assessment","Defines where independent decision authority sits — the calls each role may make alone, so autonomy is explicit rather than assumed.","Registered; advertised duty not independently certified"
"Q88","Enterprise Decision Insight","assessment","Distils your enterprise-wide decision data into insight — the handful of structural findings that explain many symptoms at once.","Registered; advertised duty not independently certified"
"Q89","Organisational Identity Report","assessment","Reports who your organization is by how it behaves — the identity revealed in its decisions, hires, and spending, versus the one in the mission statement.","Registered; advertised duty not independently certified"
"Q90","Autonomous Decision Capability","assessment","Measures how well your organization decides without escalation — the depth at which good calls happen when leadership isn't in the room.","Registered; advertised duty not independently certified"
"Q91","Governance Foundation","assessment","Assesses the foundations of your governance — decision rights, oversight, and accountability — before growth makes their gaps expensive.","Registered; advertised duty not independently certified"
"Q92","Partnership Agreement Tracker","assessment","Tracks your partnership agreements — obligations, review dates, and the drift between what was signed and what's practised.","Registered; advertised duty not independently certified"
"Q93","Enterprise Charter & Bylaws","assessment","Keeps your charter and bylaws live — checking that actual decisions honour the rules the enterprise was constituted under.","Registered; advertised duty not independently certified"
"Q94","Public Commitments Tracker","assessment","Tracks the commitments you've made publicly — targets, pledges, promises — against delivery, before your stakeholders do.","Registered; advertised duty not independently certified"
"Q95","Executive Mandate Tracker","assessment","Tracks your executive mandates — what each leader was actually charged to deliver, and how far each has got.","Registered; advertised duty not independently certified"
"Q96","Decision Protocol Library","assessment","A library of decision protocols — the standard procedure for each class of call, from pricing changes to incident response.","Registered; advertised duty not independently certified"
"Q97","Compliance & Policy Rules","assessment","Encodes compliance and policy rules into your decision-making — so the check happens before the decision, not in the audit after it.","Registered; advertised duty not independently certified"
"Q98","Decision Authority Matrix","assessment","The authority matrix for your organization — who can approve what, up to what limit — ending the deals that die waiting to find out.","Registered; advertised duty not independently certified"
"Q99","Enterprise Governance","assessment","Assesses governance across your whole enterprise — board effectiveness, controls, and accountability, rated with evidence.","Registered; advertised duty not independently certified"
"Q100","Executive Sign-Off & Certification","assessment","Runs formal sign-off — decisions certified by name, on the record, so accountability survives reorganisations.","Registered; advertised duty not independently certified"
"X01","Enterprise Protection","assessment","Assesses how well your enterprise is protected end to end — assets, people, data, and reputation — and where the exposures concentrate.","Registered; advertised duty not independently certified"
"X02","Security Intelligence","assessment","Assesses your security posture, physical and digital — rating each dimension with the evidence behind it, so gaps surface before incidents do.","Registered; advertised duty not independently certified"
"X03","Governance Intelligence","assessment","Assesses your governance strength — decision rights, oversight, and traceability — the machinery that keeps a growing business auditable.","Registered; advertised duty not independently certified"
"X04","Compliance Intelligence","assessment","Assesses your compliance position, regulation by regulation — separating what's evidenced from what's merely believed.","Registered; advertised duty not independently certified"
"X05","Ethics Intelligence","assessment","Assesses how your organization actually behaves against its ethical standards — conduct, conflicts, and culture — before a lapse becomes a headline.","Registered; advertised duty not independently certified"
"X06","Resilience Intelligence","assessment","Assesses how much shock your organization can absorb — financial, operational, and human — and where a single hit would cascade.","Registered; advertised duty not independently certified"
"X07","Continuity Intelligence","assessment","Assesses your ability to keep operating through disruption — backups, successors, and alternatives that are tested, not assumed.","Registered; advertised duty not independently certified"
"A02","Capability Assessment","roster","Scores whether your people actually have the skills your strategy needs next — not the skills on file, the skills in practice.","Registered; advertised duty not independently certified"
"A03","Workforce Planning","roadmap","Assesses whether your headcount and capability plan actually matches where the business is going, not where it has been.","Registered; advertised duty not independently certified"
"A04","Leadership Pipeline","roster","Scores how real your leadership bench actually is — named successors with genuine readiness, not an org chart that only looks complete.","Registered; advertised duty not independently certified"
"A05","Culture Intelligence","assessment","Reads culture from behaviour and outcomes rather than survey sentiment alone — what is actually being rewarded and repeated, not what people say they value.","Registered; advertised duty not independently certified"
"A06","Workforce Readiness","roster","Scores whether the workforce is ready for what is coming next — not what already happened.","Registered; advertised duty not independently certified"
"A07","Talent Diagnostics","assessment","The entry-point read on workforce health — capability coverage, flight risk, succession depth and engagement signal, in one score before you go looking for any one of them individually.","Registered; advertised duty not independently certified"
"A08","Talent Risk Intelligence","assessment","Measures the people risk in your organization — who might leave, what leaves with them, and which roles have no cover.","Registered; advertised duty not independently certified"
"A09","Talent Opportunity Intelligence","assessment","Finds the untapped opportunity in your workforce — the people ready for more than their current role asks of them.","Registered; advertised duty not independently certified"
"A10","Talent Performance Intelligence","assessment","Measures performance across your workforce with structure and evidence — separating true performance from visibility.","Registered; advertised duty not independently certified"
"A11","Talent Engagement Intelligence","assessment","Measures how engaged your people really are — commitment you can act on, team by team, not one annual survey average.","Registered; advertised duty not independently certified"
"A12","Talent Sentiment Intelligence","assessment","Reads your workforce's sentiment — how people feel about direction, leadership, and change — while there's still time to respond.","Registered; advertised duty not independently certified"
"A13","Talent Experience Intelligence","assessment","Assesses the experience of working at your company, from onboarding to exit — and where it quietly drives good people out.","Registered; advertised duty not independently certified"
"A14","Talent Lifecycle Intelligence","assessment","Views each employee's full lifecycle — hire, growth, moves, exit — so your decisions about people use the whole story.","Registered; advertised duty not independently certified"
"A15","Talent Capability Uplift","assessment","Plans your capability uplift — the skills your strategy needs next, who's closest to them, and the fastest route to close the gap.","Registered; advertised duty not independently certified"
"A16","Talent Leadership Uplift","assessment","Develops your next layer of leaders — assessing readiness and targeting growth where leadership gaps threaten your plans.","Registered; advertised duty not independently certified"
"A17","Talent Acceleration Engine Part I","assessment","Stage one of talent acceleration — baselining your workforce's capability and potential, so development starts from facts.","Registered; advertised duty not independently certified"
"A18","Talent Acceleration Engine Part II","assessment","Stage two of talent acceleration — targeted development plans matched to each high-potential's gap, with owners and timelines.","Registered; advertised duty not independently certified"
"A19","Talent Acceleration Engine Part III","assessment","Stage three of talent acceleration — stretch deployment, moving accelerating talent into real assignments that compound their growth.","Registered; advertised duty not independently certified"
"A20","Talent Acceleration Engine Part IV","assessment","Stage four of talent acceleration — consolidation: measuring who actually accelerated, locking in the gains, and refreshing the pipeline.","Registered; advertised duty not independently certified"
"A21","Succession & Leadership Pipeline","roster","Maps your succession pipeline — which critical roles have a ready successor, which have nobody, and how exposed each gap leaves you.","Registered; advertised duty not independently certified"
"A22","Leadership Bench Strength","bench-strength","Measures the depth of your leadership bench — how many ready-now leaders stand behind each key seat.","Registered; advertised duty not independently certified"
"A23","Behavioral Competency","assessment","Assesses behavioural competencies — how your people operate under pressure, in teams, and with customers — alongside what they know.","Registered; advertised duty not independently certified"
"A24","Performance & Capability Alignment","roster","Checks performance against capability — spotting strong people in the wrong roles, and roles that set capable people up to fail.","Registered; advertised duty not independently certified"
"A25","Career Pathing","roster","Generates personalised career pathways for your people — aligned to capability, performance, and aspiration — so your best can see a future with you.","Registered; advertised duty not independently certified"
"A26","Workforce Planning Readiness","roadmap","Tests whether your workforce is ready for the plan — headcount, skills, and timing checked against what your strategy assumes.","Registered; advertised duty not independently certified"
