Page,Page name,Route,Source hero,Current hero,Status,Source slides,Direct standard-renderer paragraphs,Source prose paragraphs,Representation / gap,Implementation file
16,PROFESSIONALS,/who-its-for/professionals,Work With Greater Clarity and Capability.,Work With Greater Clarity and Capability.,Extracted / shortened,6,12,12,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
17,CREATORS,/who-its-for/creators,Turn Ideas Into Clearer Action.,Turn Ideas Into Clearer Action.,Extracted / shortened,7,14,14,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
18,FOUNDERS,/who-its-for/founders,Build With More Clarity Around the Decisions That Matter.,Build With More Clarity Around the Decisions That Matter.,Extracted / shortened,8,16,16,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
19,TEAMS,/who-its-for/teams,Shared Clarity. Stronger Execution.,Shared Clarity. Stronger Execution.,Extracted / shortened,7,13,14,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
20,SMES,/who-its-for/smes,Run a Stronger Business Without Adding More Complexity.,Run a Stronger Business Without Adding More Complexity.,Extracted / shortened,8,16,16,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
21,ENTERPRISES,/who-its-for/enterprises,"Connect Decisions, Capability, and Execution Across the Organization.","Connect Decisions, Capability, and Execution Across the Organization.",Extracted / shortened,8,16,16,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
22,INSTITUTIONS,/who-its-for/institutions,"Strengthen Capability, Continuity, and Decision-Making at Institutional Scale.","Strengthen Capability, Continuity, and Decision-Making at Institutional Scale.",Extracted / shortened,8,16,16,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
23,ENTERPRISE PLATFORM & DEPLOYMENT,/enterprise,LAMID ONE at Organizational Scale,LAMID ONE at Organizational Scale,Availability placeholder,8,1,17,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
24,SECURITY,/security,Security Should Be Verifiable.,Security Should Be Verifiable.,Availability placeholder,11,1,22,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
25,RESPONSIBLE AI,/responsible-ai,AI Should Strengthen Human Judgment.,AI Should Strengthen Human Judgment.,Availability placeholder,11,1,31,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
26,PRIVACY & DATA,/trust/privacy,Your Context Deserves Clear Boundaries.,Your Context Deserves Clear Boundaries.,Availability placeholder,8,1,16,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
27,GOVERNANCE,/trust/governance,Capability Needs Accountability.,Capability Needs Accountability.,Availability placeholder,11,1,23,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
28,PRICING,/pricing,Start With the Depth You Need.,Start with what you need.,Availability placeholder,8,0,16,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
29,ENTERPRISE CONTACT,/enterprise/contact,Tell Us About Your Environment.,Tell Us About Your Environment.,Extracted / shortened,5,16,19,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
30,DEMO,/demo,See How LAMID ONE Adapts.,See How LAMID ONE Adapts.,Extracted / shortened,7,18,24,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
31,REQUEST DEMO,/demo/request,Explore LAMID ONE in Your Organizational Context.,Explore LAMID ONE in Your Organizational Context.,Extracted / shortened,4,12,18,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
32,START,/start,Start With Your Context.,Start with your context.,Custom / rewritten,4,0,20,Two-step context selection and account creation. First-objective selection from the document is not part of this flow.,src/pages/Auth.tsx
33,RESOURCES,/resources,Useful Thinking for Better Decisions and Better Work.,Useful Thinking for Better Decisions and Better Work.,Extracted / shortened,8,16,16,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
34,INSIGHTS,/insights,Ideas Worth Applying.,Ideas Worth Applying.,Extracted / shortened,4,10,14,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
35,GUIDES,/guides,Practical Guidance for Real Work.,Practical Guidance for Real Work.,Extracted / shortened,4,10,13,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
36,CASE STUDIES,/case-studies,"Evidence, Not Claims.","Evidence, Not Claims.",Availability placeholder,5,1,17,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
37,RESEARCH,/research,Understanding How Humans and AI Work Better Together.,Understanding How Humans and AI Work Better Together.,Availability placeholder,4,1,14,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
38,HELP CENTER,/help,Find What You Need.,Find What You Need.,Extracted / shortened,3,8,15,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links. Adds a working help-topic filter.",src/pages/ContentPage.tsx
39,GETTING STARTED HELP,/help/getting-started,Start Simple.,Start Simple.,Extracted / shortened,6,12,12,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
40,PRODUCT GUIDES,/help/product,Understand the Human-AI Growth OS as You Need It.,Understand the Human-AI Growth OS as You Need It.,Extracted / shortened,4,12,19,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
41,ACCOUNT & BILLING HELP,/help/account,Manage Your Account and Plan.,Manage Your Account and Plan.,Extracted / shortened,5,16,20,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
42,SUPPORT,/support,How Can We Help?,How Can We Help?,Extracted / shortened,5,12,17,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
43,DEVELOPERS,/developers,Extend LAMID ONE Without Fragmenting It.,Extend LAMID ONE Without Fragmenting It.,Availability placeholder,7,1,17,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
44,API DOCUMENTATION,/developers/api,Build Against Stable Interfaces.,Build Against Stable Interfaces.,Availability placeholder,5,1,27,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
45,SDKS,/developers/sdks,Build With LAMID ONE Capabilities.,Build With LAMID ONE Capabilities.,Availability placeholder,5,1,15,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
46,INTEGRATIONS,/integrations,Connect the Systems You Already Use.,Connect the Systems You Already Use.,Availability placeholder,5,1,15,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
47,WEBHOOKS & EVENTS,/developers/webhooks,Keep Context Current Through Meaningful Events.,Keep Context Current Through Meaningful Events.,Availability placeholder,5,1,22,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
48,DEVELOPER CHANGELOG,/developers/changelog,Know What Changed.,Know What Changed.,Availability placeholder,3,1,12,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
49,ABOUT,/about,Why LAMID ONE Exists,Why LAMID ONE Exists,Extracted / shortened,6,12,12,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
50,OUR STORY,/about/story,The Thinking Behind LAMID ONE,The Thinking Behind LAMID ONE,Availability placeholder,6,1,12,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
51,FOUNDER & LEADERSHIP,/about/leadership,Leadership Behind LAMID ONE,Leadership Behind LAMID ONE,Availability placeholder,6,1,12,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
52,CAREERS,/careers,Help Build a Better Human-AI Operating Model.,Help Build a Better Human-AI Operating Model.,Availability placeholder,5,1,20,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
53,PRESS & MEDIA,/press,LAMID ONE - Press & Media,LAMID ONE - Press & Media,Availability placeholder,5,1,10,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
54,CONTACT,/contact,Start the Right Conversation.,Start the Right Conversation.,Extracted / shortened,3,8,13,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
55,PRIVACY POLICY,/legal/privacy,Privacy Policy,Privacy Policy,Availability placeholder,7,1,14,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
56,TERMS OF SERVICE,/legal/terms,Terms of Service,Terms of Service,Availability placeholder,8,1,16,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
57,COOKIE POLICY,/legal/cookies,Cookie Policy,Cookie Policy,Availability placeholder,7,1,14,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
58,ACCEPTABLE USE POLICY,/legal/acceptable-use,Acceptable Use Policy,Acceptable Use Policy,Availability placeholder,5,1,10,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
59,DATA PROCESSING ADDENDUM,/legal/dpa,Data Processing Addendum,Data Processing Addendum,Availability placeholder,7,1,14,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
60,ACCESSIBILITY,/accessibility,Designed for More People to Use.,Designed for More People to Use.,Extracted / shortened,6,12,12,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
61,SIGN IN,/login,Welcome Back,Welcome back.,Custom / rewritten,4,0,13,"Email/password sign-in form and account link. No MFA, remembered-session choice or recovery flow is exposed here.",src/pages/Auth.tsx
62,CREATE ACCOUNT,/signup,Start With Your Context.,Start with your context.,Custom / rewritten,4,0,11,"Shares the context-first signup flow with /start. Name, email and password form; no identity-provider chooser or explicit required-consent checkbox.",src/pages/Auth.tsx
63,FORGOT PASSWORD,/forgot-password,Recover Access,A different direction.,Missing / not-found,3,0,7,"Listed in the route inventory, but no route-specific component or public content record resolves this URL.",src/pages/ContentPage.tsx
64,RESET PASSWORD,/reset-password,Create a New Password,A different direction.,Missing / not-found,4,0,11,"Listed in the route inventory, but no route-specific component or public content record resolves this URL.",src/pages/ContentPage.tsx
65,VERIFY ACCOUNT,/verify,Confirm Your Account,A different direction.,Missing / not-found,4,0,11,"Listed in the route inventory, but no route-specific component or public content record resolves this URL.",src/pages/ContentPage.tsx
66,ONBOARDING,/onboarding,Start With Your Context.,A different direction.,Missing / not-found,5,0,22,"Listed in the route inventory, but no route-specific component or public content record resolves this URL.",src/pages/ContentPage.tsx
67,OS HOME,/os,What Needs Your Attention?,"A little clearer, [first name].",Custom / rewritten,9,0,18,"Personalized overview, objectives, next actions and recent activity. Replaces the source slide sequence with live workspace summaries.",src/pages/workspace/Dashboard.tsx
68,TODAY,/os/today,Start With What Matters Today.,Make room for what matters.,Custom / rewritten,6,0,12,Filtered due/review actions with list and board views. Not a complete implementation of the document return-state model.,src/pages/workspace/ActionsPage.tsx
69,CLARITY WORKSPACE,/os/clarity,Understand Before You Act.,Give your ambition a direction.,Custom / rewritten,6,0,12,"Objective cards and editor capture objective, context, success, constraints and priority. Source sections are merged into an interactive flow.",src/pages/workspace/Clarity.tsx
70,CAPABILITY WORKSPACE,/os/capability,What Does the Next Step Require?,Build the conditions for progress.,Custom / rewritten,6,0,17,Uses objective success criteria and constraints with an add-action control. No dedicated skills assessment or resource-matching engine.,src/pages/workspace/Capability.tsx
71,CONSISTENCY WORKSPACE,/os/consistency,Keep Important Work Moving.,Keep the important work moving.,Custom / rewritten,6,0,12,"Action creation, status list/board and review controls replace source editorial sections.",src/pages/workspace/ActionsPage.tsx
72,PROGRESS,/os/progress,See What Is Changing Over Time.,Make your progress visible.,Custom / rewritten,7,0,15,Shares the reflection and completion view with Rhythm; not a distinct analytics surface.,src/pages/workspace/Rhythm.tsx
73,RHYTHM WORKSPACE,/os/rhythm,Review the Rhythm Behind Continuous Progress.,"A rhythm, not a one-time event.",Custom / rewritten,6,0,12,Completion summary and saved reflections. No separate Today/Week/Month/History tabs or automated cadence.,src/pages/workspace/Rhythm.tsx
74,COMPANION WORKSPACE,/os/companion,What Are You Working Through?,What are you working through?,Custom / rewritten,6,0,12,"Guided objective → context → next-action form. No live AI inference, continuous intelligence or autonomous progression.",src/pages/workspace/Companion.tsx
75,INSIGHTS,/os/insights,Insights Worth Your Attention,This part of the journey is ahead.,Planned placeholder,3,0,15,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
76,BUSINESS,/os/business,Your Business Context,This part of the journey is ahead.,Planned placeholder,9,0,22,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
77,OPPORTUNITIES,/os/opportunities,Explore Where You Could Go Next.,This part of the journey is ahead.,Planned placeholder,9,0,18,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
78,FINANCE,/os/finance,Understand the Financial Context Behind the Decision.,This part of the journey is ahead.,Planned placeholder,10,0,23,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
79,PEOPLE & CAPABILITY,/os/people,Understand What the Work Requires.,This part of the journey is ahead.,Planned placeholder,9,0,18,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
80,WORKFLOWS,/os/workflows,Turn Decisions Into Execution.,See how the work moves.,Custom / rewritten,6,0,16,"Reuses the action tracker. No dependency graph, multi-owner workflow builder or commercial acceptance engine.",src/pages/workspace/ActionsPage.tsx
81,WORKFLOW BUILDER,/os/workflows/[id],Build the Work Around the Outcome.,This part of the journey is ahead.,Planned placeholder,10,0,23,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
82,ORGANIZATION,/os/organization,See the Organization in Context.,This part of the journey is ahead.,Planned placeholder,9,0,18,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
83,TEAMS,/os/teams,Teams,This part of the journey is ahead.,Planned placeholder,8,0,16,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
84,ORGANIZATIONAL RHYTHM,/os/organization/rhythm,Shared Clarity. Shared Capability. Shared Consistency.,This part of the journey is ahead.,Planned placeholder,7,0,15,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
85,ANALYTICS,/os/analytics,Understand the Patterns Behind the Work.,This part of the journey is ahead.,Planned placeholder,4,0,17,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
86,OS INTEGRATIONS,/os/integrations,Connect Relevant Systems.,This part of the journey is ahead.,Planned placeholder,8,0,16,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
87,OS GOVERNANCE,/os/governance,Define How LAMID ONE Operates in Your Organization.,Capability needs accountability.,Custom / rewritten,8,0,20,Pending human action reviews and searchable activity trail. Organization policy and permission administration are not implemented.,src/pages/workspace/Governance.tsx
88,AUDIT,/os/audit,Review Consequential Activity.,Capability needs accountability.,Custom / rewritten,8,0,19,Reuses Governance review/activity UI. No dedicated commercial approval/payment/reconciliation audit surface.,src/pages/workspace/Governance.tsx
89,ADMIN,/os/admin,Organization Administration,This part of the journey is ahead.,Planned placeholder,10,0,20,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
90,PROFILE,/os/profile,Your Profile,This part of the journey is ahead.,Planned placeholder,5,0,10,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
91,SETTINGS,/os/settings,Settings,Make this space your own.,Custom / rewritten,9,0,18,"Workspace name/context, read-only account details and export. Roles, billing, invitations and background automation are explicitly unavailable.",src/pages/workspace/Settings.tsx
92,AI & MEMORY,/os/settings/ai,AI & Context Controls,This part of the journey is ahead.,Planned placeholder,8,0,18,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
93,PRIVACY & DATA CONTROLS,/os/settings/privacy,Your Data Controls,This part of the journey is ahead.,Planned placeholder,8,0,18,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
94,NOTIFICATIONS,/os/notifications,Notifications,This part of the journey is ahead.,Planned placeholder,8,0,17,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
95,WORKSPACE SETTINGS,/os/settings/workspace,Workspace Settings,This part of the journey is ahead.,Planned placeholder,6,0,12,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
96,MEMBERS & ROLES,/os/settings/members,People & Access,This part of the journey is ahead.,Planned placeholder,6,0,12,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
97,BILLING,/os/settings/billing,Billing,This part of the journey is ahead.,Planned placeholder,6,0,12,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
98,PLAN & USAGE,/os/settings/plan,Plan & Usage,This part of the journey is ahead.,Planned placeholder,7,0,14,All original sections are replaced by one generic planned-module view after workspace access.,src/pages/workspace/PlannedModule.tsx
